,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,,,,,,,
109,Grambling,28,0,28,0,-35.85,-9.17,0,18,0,9,0,18,1391,2138,,519,1436,0.361,143,458,0.312,210,358,0.587,277,875,290,123,64,491,492,-26.67857143,31.25,10.35714286,17.53571429,17.57142857,4.392857143,2.285714286
110,Green Bay,34,18,16,0.529,1.67,-0.27,10,6,12,3,4,12,2247,2142,,777,1772,0.438,164,487,0.337,529,705,0.75,354,1193,455,201,162,454,587,3.088235294,35.08823529,13.38235294,13.35294118,17.26470588,5.911764706,4.764705882
111,Hampton,31,14,17,0.452,-9.35,-7.84,11,5,7,7,7,8,1936,1983,,678,1731,0.392,135,513,0.263,445,668,0.666,394,1196,352,231,148,527,635,-1.516129032,38.58064516,11.35483871,17,20.48387097,7.451612903,4.774193548
112,Hartford,31,17,14,0.548,-5.84,-4.71,10,6,10,5,7,8,1863,1898,,645,1578,0.409,235,703,0.334,338,485,0.697,264,920,382,253,61,442,585,-1.129032258,29.67741935,12.32258065,14.25806452,18.87096774,8.161290323,1.967741935
113,Harvard,30,20,10,0.667,3.95,0.16,11,3,13,1,6,8,2049,1924,,677,1425,0.475,191,480,0.398,504,697,0.723,219,881,392,218,126,399,457,4.166666667,29.36666667,13.06666667,13.3,15.23333333,7.266666667,4.2
114,Hawaii,32,17,15,0.531,-1.73,-2.37,10,8,12,7,4,7,2336,2305,,836,1850,0.452,195,569,0.343,469,683,0.687,397,1234,444,170,110,462,532,0.96875,38.5625,13.875,14.4375,16.625,5.3125,3.4375
115,High Point,31,17,14,0.548,-4.66,-7.25,12,4,10,5,6,8,2221,2052,,823,1841,0.447,138,442,0.312,437,609,0.718,396,1154,455,227,134,376,578,5.451612903,37.22580645,14.67741935,12.12903226,18.64516129,7.322580645,4.322580645
116,Hofstra,32,7,25,0.219,-10.76,-1.92,4,14,6,9,1,14,1873,2132,,658,1719,0.383,141,486,0.29,416,664,0.627,408,1110,312,203,110,463,538,-8.09375,34.6875,9.75,14.46875,16.8125,6.34375,3.4375
117,Holy Cross,30,12,18,0.4,-6.14,-2.97,4,10,7,5,4,12,1834,1929,,644,1555,0.414,195,571,0.342,351,466,0.753,272,1002,366,116,105,372,513,-3.166666667,33.4,12.2,12.4,17.1,3.866666667,3.5
118,Houston Baptist,31,14,17,0.452,-15.17,-8.03,3,5,7,5,3,12,1982,2080,,712,1720,0.414,141,441,0.32,417,628,0.664,368,1116,349,215,86,534,613,-3.161290323,36,11.25806452,17.22580645,19.77419355,6.935483871,2.774193548
119,Houston,33,20,13,0.606,-0.3,-3.77,7,9,14,4,5,8,2578,2420,,912,1965,0.464,199,551,0.361,555,782,0.71,400,1276,500,221,127,433,599,4.787878788,38.66666667,15.15151515,13.12121212,18.15151515,6.696969697,3.848484848
120,Howard,31,7,24,0.226,-14.42,-5.35,4,12,5,7,2,13,1615,1868,,572,1567,0.365,101,408,0.248,370,558,0.663,381,1053,275,196,102,461,538,-8.161290323,33.96774194,8.870967742,14.87096774,17.35483871,6.322580645,3.290322581
121,Idaho State,30,6,24,0.2,-12.98,-4.85,5,15,5,7,1,14,1710,1928,,587,1444,0.407,163,515,0.317,373,548,0.681,237,855,307,209,100,361,473,-7.266666667,28.5,10.23333333,12.03333333,15.76666667,6.966666667,3.333333333
122,Idaho,30,12,18,0.4,-2.19,0.33,7,11,6,8,6,8,2050,2079,,715,1532,0.467,192,522,0.368,428,576,0.743,294,1030,394,123,85,404,499,-0.966666667,34.33333333,13.13333333,13.46666667,16.63333333,4.1,2.833333333
123,Illinois-Chicago,34,18,16,0.529,-1.78,-0.69,7,9,12,4,4,10,2136,2134,,720,1797,0.401,222,656,0.338,474,630,0.752,329,1147,416,222,93,423,573,0.058823529,33.73529412,12.23529412,12.44117647,16.85294118,6.529411765,2.735294118
124,Illinois State,33,18,15,0.545,9.63,3.72,8,10,11,5,5,8,2460,2265,,871,1914,0.455,242,697,0.347,476,658,0.723,342,1159,490,239,144,431,599,5.909090909,35.12121212,14.84848485,13.06060606,18.15151515,7.242424242,4.363636364
125,Illinois,36,23,13,0.639,13.23,10.08,8,10,12,4,6,6,2465,2332,,858,2084,0.412,280,873,0.321,469,646,0.726,427,1215,365,245,142,411,648,3.694444444,33.75,10.13888889,11.41666667,18,6.805555556,3.944444444
126,Indiana State,33,18,15,0.545,5.08,5.64,9,9,11,3,4,10,2159,2164,,733,1709,0.429,186,579,0.321,507,717,0.707,290,1111,390,185,107,427,583,-0.151515152,33.66666667,11.81818182,12.93939394,17.66666667,5.606060606,3.242424242
127,Indiana,36,29,7,0.806,24.9,8.38,14,4,17,2,7,2,2831,2236,,951,1971,0.482,257,637,0.403,672,904,0.743,438,1378,514,256,130,468,598,16.52777778,38.27777778,14.27777778,13,16.61111111,7.111111111,3.611111111
128,Iona,34,20,14,0.588,4.04,-0.02,11,7,11,1,5,9,2733,2595,,956,2106,0.454,283,771,0.367,538,689,0.781,395,1229,523,222,101,420,582,4.058823529,36.14705882,15.38235294,12.35294118,17.11764706,6.529411765,2.970588235
129,Iowa State,35,23,12,0.657,14.5,6.13,11,7,16,1,4,7,2779,2486,,962,2111,0.456,346,924,0.374,509,696,0.731,422,1341,560,223,97,460,593,8.371428571,38.31428571,16,13.14285714,16.94285714,6.371428571,2.771428571
130,Iowa,38,25,13,0.658,14.22,6.93,9,9,18,2,3,8,2665,2388,,903,2156,0.419,204,668,0.305,655,896,0.731,499,1484,573,263,183,476,648,7.289473684,39.05263158,15.07894737,12.52631579,17.05263158,6.921052632,4.815789474
131,IPFW,33,16,17,0.485,-7,-5.32,7,9,10,4,4,10,2213,2178,,777,1771,0.439,222,620,0.358,437,681,0.642,346,1118,413,250,87,449,583,1.060606061,33.87878788,12.51515152,13.60606061,17.66666667,7.575757576,2.636363636
132,IUPUI,32,6,26,0.188,-15.93,-2.79,1,15,3,8,1,13,2096,2451,,790,1785,0.443,222,621,0.357,294,439,0.67,249,930,420,177,75,406,506,-11.09375,29.0625,13.125,12.6875,15.8125,5.53125,2.34375
133,Jackson State,29,11,18,0.379,-14.8,-9.52,9,9,6,3,4,14,1920,2073,,647,1659,0.39,181,580,0.312,445,637,0.699,290,922,275,241,65,369,568,-5.275862069,31.79310345,9.482758621,12.72413793,19.5862069,8.310344828,2.24137931
134,Jacksonville State,28,17,11,0.607,-4.48,-4.29,8,8,9,3,6,8,1857,1817,,637,1433,0.445,159,450,0.353,424,625,0.678,292,805,363,237,116,365,472,1.428571429,28.75,12.96428571,13.03571429,16.85714286,8.464285714,4.142857143
135,Jacksonville,32,14,18,0.438,-10.47,-4.74,9,9,10,3,3,13,2181,2300,,774,1831,0.423,166,512,0.324,467,664,0.703,384,1154,414,215,104,488,615,-3.71875,36.0625,12.9375,15.25,19.21875,6.71875,3.25
136,James Madison,36,21,15,0.583,-1.73,-2.28,11,7,10,4,4,9,2346,2326,,818,1941,0.421,211,628,0.336,499,714,0.699,365,1179,423,272,166,401,620,0.555555556,32.75,11.75,11.13888889,17.22222222,7.555555556,4.611111111
137,Kansas State,35,27,8,0.771,13.53,6.53,14,4,15,1,7,3,2414,2115,,872,2002,0.436,238,658,0.362,432,631,0.685,470,1235,557,247,129,403,631,8.542857143,35.28571429,15.91428571,11.51428571,18.02857143,7.057142857,3.685714286
138,Kansas,37,31,6,0.838,20.79,7.54,14,4,16,1,7,3,2782,2292,,985,2049,0.481,216,594,0.364,596,809,0.737,399,1450,575,260,247,517,620,13.24324324,39.18918919,15.54054054,13.97297297,16.75675676,7.027027027,6.675675676
139,Kennesaw State,30,3,27,0.1,-15.4,-4.76,2,16,2,10,1,15,1831,2150,,644,1609,0.4,152,502,0.303,391,601,0.651,328,913,312,211,50,414,603,-10.63333333,30.43333333,10.4,13.8,20.1,7.033333333,1.666666667
140,Kent State,35,21,14,0.6,2.38,-0.83,9,7,12,6,8,7,2484,2373,,823,1921,0.428,241,669,0.36,597,842,0.709,427,1240,402,235,93,447,684,3.171428571,35.42857143,11.48571429,12.77142857,19.54285714,6.714285714,2.657142857
141,Kentucky,33,21,12,0.636,13.94,5.78,12,6,16,2,4,8,2396,2127,,863,1815,0.475,184,532,0.346,486,757,0.642,379,1249,441,185,217,430,566,8.151515152,37.84848485,13.36363636,13.03030303,17.15151515,5.606060606,6.575757576
142,La Salle,34,24,10,0.706,10.14,4.46,11,5,13,2,8,6,2450,2257,,871,1931,0.451,262,695,0.377,446,605,0.737,332,1062,481,263,119,390,520,5.676470588,31.23529412,14.14705882,11.47058824,15.29411765,7.735294118,3.5
143,Lafayette,34,19,15,0.559,-3,-2.36,10,4,14,3,5,12,2349,2346,,842,1842,0.457,276,718,0.384,389,516,0.754,270,1014,486,231,107,424,530,0.088235294,29.82352941,14.29411765,12.47058824,15.58823529,6.794117647,3.147058824
144,Lamar,31,3,28,0.097,-20.55,-3.26,1,17,1,10,1,17,1862,2398,,710,1741,0.408,57,188,0.303,385,548,0.703,359,1138,353,133,128,564,508,-17.29032258,36.70967742,11.38709677,18.19354839,16.38709677,4.290322581,4.129032258
145,Lehigh,31,21,10,0.677,3.95,-3.01,10,4,11,3,9,7,2266,2022,,788,1705,0.462,235,600,0.392,455,617,0.737,272,1016,453,219,105,339,478,7.870967742,32.77419355,14.61290323,10.93548387,15.41935484,7.064516129,3.387096774
146,Liberty,36,15,21,0.417,-9.13,-5.8,6,10,8,7,4,11,2489,2519,,838,1954,0.429,251,669,0.375,562,770,0.73,367,1279,443,197,105,479,685,-0.833333333,35.52777778,12.30555556,13.30555556,19.02777778,5.472222222,2.916666667
147,Lipscomb,30,12,18,0.4,-11.7,-3.45,7,11,8,6,4,11,2079,2300,,717,1690,0.424,159,497,0.32,486,753,0.645,401,1146,345,209,52,504,657,-7.366666667,38.2,11.5,16.8,21.9,6.966666667,1.733333333
148,Long Beach State,33,19,14,0.576,-1.18,1.92,14,4,11,3,7,10,2291,2360,,811,1836,0.442,223,656,0.34,446,675,0.661,374,1151,398,214,114,485,570,-2.090909091,34.87878788,12.06060606,14.6969697,17.27272727,6.484848485,3.454545455
149,Long Island University,34,20,14,0.588,-3.21,-5.8,12,6,12,2,7,9,2677,2589,,915,1909,0.479,246,647,0.38,601,870,0.691,405,1203,515,232,117,486,597,2.588235294,35.38235294,15.14705882,14.29411765,17.55882353,6.823529412,3.441176471
150,Longwood,33,8,25,0.242,-19.36,-5.1,4,12,4,9,2,14,2270,2687,,841,1898,0.443,167,524,0.319,421,593,0.71,341,1097,459,226,96,548,592,-12.63636364,33.24242424,13.90909091,16.60606061,17.93939394,6.848484848,2.909090909
151,Louisiana-Lafayette,33,13,20,0.394,-4.92,-2.23,8,12,10,5,2,14,2337,2413,,827,1935,0.427,226,663,0.341,457,681,0.671,354,1128,367,235,121,466,622,-2.303030303,34.18181818,11.12121212,14.12121212,18.84848485,7.121212121,3.666666667
152,Louisiana-Monroe,27,4,23,0.148,-13.97,-1.45,3,17,3,9,1,13,1621,1959,,602,1409,0.427,161,462,0.348,256,444,0.577,245,798,367,194,36,439,498,-12.51851852,29.55555556,13.59259259,16.25925926,18.44444444,7.185185185,1.333333333
153,Louisiana State,31,19,12,0.613,5.82,4.01,9,9,14,3,4,8,2194,2138,,788,1839,0.428,234,658,0.356,384,614,0.625,402,1150,442,282,119,444,584,1.806451613,37.09677419,14.25806452,14.32258065,18.83870968,9.096774194,3.838709677
154,Louisiana Tech,34,27,7,0.794,5.48,-2.06,16,2,14,0,11,6,2470,2151,,857,2092,0.41,253,787,0.321,503,722,0.697,465,1303,454,309,168,421,624,9.382352941,38.32352941,13.35294118,12.38235294,18.35294118,9.088235294,4.941176471
155,Louisville,40,35,5,0.875,24.81,9.13,14,4,15,1,8,3,2978,2351,,1048,2300,0.456,230,691,0.333,652,920,0.709,531,1471,584,430,168,495,727,15.675,36.775,14.6,12.375,18.175,10.75,4.2
156,Loyola (IL),31,15,16,0.484,-1.03,-2.3,5,11,8,6,6,9,1995,1934,,708,1586,0.446,184,505,0.364,395,550,0.718,296,1030,430,157,83,408,480,1.967741935,33.22580645,13.87096774,13.16129032,15.48387097,5.064516129,2.677419355
157,Loyola Marymount,34,11,23,0.324,-3.04,2.86,1,15,5,9,2,12,2202,2338,,769,1915,0.402,198,599,0.331,466,663,0.703,416,1196,367,246,83,450,629,-4,35.17647059,10.79411765,13.23529412,18.5,7.235294118,2.441176471
158,Loyola (MD),35,23,12,0.657,1.33,-2.1,12,6,13,3,7,8,2341,2221,,826,1919,0.43,147,492,0.299,542,786,0.69,441,1209,422,250,155,418,648,3.428571429,34.54285714,12.05714286,11.94285714,18.51428571,7.142857143,4.428571429
159,Maine,30,11,19,0.367,-9.57,-4.12,6,10,8,4,3,15,1988,2091,,733,1688,0.434,156,530,0.294,366,559,0.655,326,1118,384,209,123,450,547,-3.433333333,37.26666667,12.8,15,18.23333333,6.966666667,4.1
160,Manhattan,32,14,18,0.438,-1.97,-0.38,9,9,7,4,5,11,1865,1916,,614,1506,0.408,181,538,0.336,456,689,0.662,328,1027,341,212,134,516,674,-1.59375,32.09375,10.65625,16.125,21.0625,6.625,4.1875
161,Marist,31,10,21,0.323,-6.34,-1.63,6,12,6,7,3,11,2045,2191,,710,1670,0.425,197,569,0.346,428,661,0.648,293,1018,396,194,128,443,530,-4.709677419,32.83870968,12.77419355,14.29032258,17.09677419,6.258064516,4.129032258
162,Marquette,35,26,9,0.743,14.04,8.58,14,4,16,0,5,6,2382,2191,,842,1844,0.457,147,497,0.296,551,755,0.73,417,1240,483,231,123,470,590,5.457142857,35.42857143,13.8,13.42857143,16.85714286,6.6,3.514285714
163,Marshall,32,13,19,0.406,-3.62,0.93,6,10,11,4,1,11,2208,2327,,767,1796,0.427,198,646,0.307,476,796,0.598,460,1214,448,207,145,506,617,-3.71875,37.9375,14,15.8125,19.28125,6.46875,4.53125
164,Maryland-Baltimore County,31,8,23,0.258,-12.5,-3.7,5,11,6,8,1,14,1970,2216,,718,1763,0.407,206,611,0.337,328,520,0.631,335,1030,368,223,69,455,625,-7.935483871,33.22580645,11.87096774,14.67741935,20.16129032,7.193548387,2.225806452
165,Maryland-Eastern Shore,28,2,26,0.071,-19.61,-5.11,2,14,2,6,0,15,1535,1941,,538,1507,0.357,123,452,0.272,336,532,0.632,370,944,261,187,72,429,462,-14.5,33.71428571,9.321428571,15.32142857,16.5,6.678571429,2.571428571
166,Maryland,38,25,13,0.658,11.37,4.66,8,10,18,3,4,7,2688,2433,,986,2124,0.464,219,646,0.339,497,732,0.679,464,1534,551,195,166,569,633,6.710526316,40.36842105,14.5,14.97368421,16.65789474,5.131578947,4.368421053
167,Massachusetts,33,21,12,0.636,5.82,4.55,9,7,10,5,8,4,2408,2366,,838,1932,0.434,235,699,0.336,497,691,0.719,383,1217,482,248,172,476,632,1.272727273,36.87878788,14.60606061,14.42424242,19.15151515,7.515151515,5.212121212
168,McNeese State,31,14,17,0.452,-11.49,-4.63,7,11,9,5,4,11,2055,2172,,771,1847,0.417,160,485,0.33,353,549,0.643,379,1089,380,242,149,373,532,-3.774193548,35.12903226,12.25806452,12.03225806,17.16129032,7.806451613,4.806451613
169,Memphis,36,31,5,0.861,12.26,2.7,16,0,17,1,9,1,2681,2337,,976,2071,0.471,220,592,0.372,509,771,0.66,439,1350,605,321,231,523,651,9.555555556,37.5,16.80555556,14.52777778,18.08333333,8.916666667,6.416666667
170,Mercer,36,24,12,0.667,0.69,-4.08,14,4,13,0,9,8,2371,2135,,807,1856,0.435,265,746,0.355,492,653,0.753,342,1159,516,239,145,454,644,6.555555556,32.19444444,14.33333333,12.61111111,17.88888889,6.638888889,4.027777778
171,Miami (FL),36,29,7,0.806,16.99,7.88,15,3,14,1,10,3,2509,2181,,895,1968,0.455,254,701,0.362,465,680,0.684,369,1287,408,223,159,385,525,9.111111111,35.75,11.33333333,10.69444444,14.58333333,6.194444444,4.416666667
172,Miami (OH),31,9,22,0.29,-6.62,-0.26,3,13,5,8,4,13,1954,2128,,687,1598,0.43,178,537,0.331,402,591,0.68,279,910,379,258,74,441,558,-5.612903226,29.35483871,12.22580645,14.22580645,18,8.322580645,2.387096774
173,Michigan State,36,27,9,0.75,18.64,10.55,13,5,17,1,6,5,2448,2129,,882,1921,0.459,177,523,0.338,507,710,0.714,421,1361,474,289,140,489,579,8.861111111,37.80555556,13.16666667,13.58333333,16.08333333,8.027777778,3.888888889
174,Michigan,39,31,8,0.795,21.28,10.05,12,6,17,1,5,5,2932,2467,,1093,2260,0.484,296,769,0.385,450,642,0.701,416,1366,565,239,108,368,496,11.92307692,35.02564103,14.48717949,9.435897436,12.71794872,6.128205128,2.769230769
175,Middle Tennessee,34,28,6,0.824,11.16,-1.52,19,1,15,0,11,3,2405,1974,,848,1835,0.462,181,480,0.377,528,759,0.696,407,1243,481,238,128,464,700,12.67647059,36.55882353,14.14705882,13.64705882,20.58823529,7,3.764705882
176,Milwaukee,32,8,24,0.25,-10.33,-0.26,3,13,7,7,1,15,2007,2264,,675,1741,0.388,223,708,0.315,432,632,0.684,341,1064,350,172,114,453,523,-8.03125,33.25,10.9375,14.15625,16.34375,5.375,3.5625
177,Minnesota,34,21,13,0.618,16.83,10.31,8,10,15,2,3,8,2337,2115,,815,1838,0.443,184,546,0.337,523,764,0.685,501,1308,503,253,187,467,605,6.529411765,38.47058824,14.79411765,13.73529412,17.79411765,7.441176471,5.5
178,Mississippi State,32,10,22,0.313,-4.54,4.34,4,14,7,7,1,11,1940,2224,,670,1672,0.401,151,531,0.284,449,683,0.657,343,1065,321,257,124,545,519,-8.875,33.28125,10.03125,17.03125,16.21875,8.03125,3.875
179,Mississippi Valley State,28,5,23,0.179,-19.13,-8.28,5,13,4,5,1,16,1765,2069,,593,1604,0.37,169,557,0.303,410,633,0.648,346,946,271,198,71,427,564,-10.85714286,33.78571429,9.678571429,15.25,20.14285714,7.071428571,2.535714286
180,Mississippi,36,27,9,0.75,14.42,4.14,12,6,16,1,6,6,2779,2409,,977,2230,0.438,238,735,0.324,587,866,0.678,475,1400,450,297,185,409,606,10.27777778,38.88888889,12.5,11.36111111,16.83333333,8.25,5.138888889
181,Missouri-Kansas City,32,8,24,0.25,-13.61,-2.74,5,11,3,11,4,11,1950,2252,,703,1667,0.422,199,585,0.34,345,512,0.674,310,983,315,189,97,482,595,-9.4375,30.71875,9.84375,15.0625,18.59375,5.90625,3.03125
182,Missouri State,33,11,22,0.333,-2.8,4.65,7,11,8,7,2,12,1966,2136,,698,1721,0.406,179,602,0.297,391,584,0.67,297,980,334,156,46,336,584,-5.151515152,29.6969697,10.12121212,10.18181818,17.6969697,4.727272727,1.393939394
183,Missouri,34,23,11,0.676,15.41,6,11,7,17,0,2,8,2588,2268,,924,2015,0.459,215,635,0.339,525,706,0.744,454,1385,472,229,119,442,567,9.411764706,40.73529412,13.88235294,13,16.67647059,6.735294118,3.5
184,Monmouth,31,10,21,0.323,-12.02,-4.19,5,13,5,8,3,13,2009,2252,,715,1800,0.397,169,545,0.31,410,581,0.706,350,1012,377,273,46,460,631,-7.838709677,32.64516129,12.16129032,14.83870968,20.35483871,8.806451613,1.483870968
185,Montana State,30,13,17,0.433,-10.9,-6.69,10,10,10,6,3,10,2118,2181,,733,1717,0.427,202,599,0.337,450,626,0.719,324,965,339,238,51,353,536,-2.1,32.16666667,11.3,11.76666667,17.86666667,7.933333333,1.7
186,Montana,32,25,7,0.781,-1.11,-4.21,19,1,15,1,10,4,2238,2096,,760,1635,0.465,219,589,0.372,499,651,0.767,248,999,405,187,100,391,543,4.4375,31.21875,12.65625,12.21875,16.96875,5.84375,3.125
187,Morehead State,33,15,18,0.455,-5.36,-1.81,8,8,10,5,3,12,2396,2408,,842,1934,0.435,201,626,0.321,511,739,0.691,480,1224,489,295,96,573,815,-0.363636364,37.09090909,14.81818182,17.36363636,24.6969697,8.939393939,2.909090909
188,Morgan State,32,17,15,0.531,-5.39,-7.51,10,6,5,4,8,9,2162,2094,,806,1807,0.446,133,456,0.292,417,708,0.589,445,1189,410,206,170,487,568,2.125,37.15625,12.8125,15.21875,17.75,6.4375,5.3125
189,Mount St. Mary's,32,18,14,0.563,-5.85,-4.1,11,7,10,2,8,12,2233,2289,,778,1813,0.429,274,811,0.338,403,578,0.697,319,937,389,269,67,398,623,-1.75,29.28125,12.15625,12.4375,19.46875,8.40625,2.09375
190,Murray State,31,21,10,0.677,1.21,-2.89,10,6,10,4,8,4,2257,2071,,776,1716,0.452,243,701,0.347,462,669,0.691,356,1112,397,210,103,433,536,6,35.87096774,12.80645161,13.96774194,17.29032258,6.774193548,3.322580645
191,Navy,31,8,23,0.258,-11.31,-4.44,2,12,5,9,2,13,1709,1888,,628,1605,0.391,172,528,0.326,281,448,0.627,280,921,364,183,68,348,525,-5.774193548,29.70967742,11.74193548,11.22580645,16.93548387,5.903225806,2.193548387
192,Nebraska-Omaha,31,11,20,0.355,-15.18,-3.9,6,10,7,6,3,13,2215,2548,,826,1786,0.462,189,528,0.358,374,536,0.698,262,935,409,205,86,453,527,-10.74193548,30.16129032,13.19354839,14.61290323,17,6.612903226,2.774193548
193,Nebraska,33,15,18,0.455,4.4,9.59,5,13,11,7,2,9,1923,2094,,708,1741,0.407,165,537,0.307,342,494,0.692,293,1041,325,167,103,352,571,-5.181818182,31.54545455,9.848484848,10.66666667,17.3030303,5.060606061,3.121212121
194,Nevada-Las Vegas,35,25,10,0.714,12.92,5.71,10,6,17,2,6,6,2498,2206,,872,2002,0.436,227,689,0.329,525,747,0.703,418,1406,562,253,203,487,593,8.342857143,40.17142857,16.05714286,13.91428571,16.94285714,7.228571429,5.8
195,Nevada,31,12,19,0.387,0.45,5.35,3,13,10,7,2,11,2092,2229,,703,1671,0.421,183,595,0.308,503,690,0.729,310,1028,351,172,99,396,590,-4.419354839,33.16129032,11.32258065,12.77419355,19.03225806,5.548387097,3.193548387
196,New Hampshire,29,9,20,0.31,-8.26,-4.19,5,11,6,6,3,13,1745,1819,,609,1566,0.389,179,581,0.308,348,545,0.639,298,1009,304,169,82,351,498,-2.551724138,34.79310345,10.48275862,12.10344828,17.17241379,5.827586207,2.827586207
197,New Mexico State,35,24,11,0.686,5.11,0.7,14,4,15,1,6,8,2355,2175,,832,1828,0.455,137,438,0.313,554,845,0.656,429,1320,401,198,193,506,525,5.142857143,37.71428571,11.45714286,14.45714286,15,5.657142857,5.514285714
198,New Mexico,35,29,6,0.829,13.28,6.63,13,3,15,1,8,4,2355,2122,,768,1815,0.423,221,629,0.351,598,829,0.721,335,1232,505,220,134,402,542,6.657142857,35.2,14.42857143,11.48571429,15.48571429,6.285714286,3.828571429
199,New Orleans,26,8,18,0.308,-21.26,-6.12,0,0,8,4,0,13,1791,1958,,666,1513,0.44,91,316,0.288,368,557,0.661,293,909,359,224,75,461,531,-6.423076923,34.96153846,13.80769231,17.73076923,20.42307692,8.615384615,2.884615385
200,Niagara,33,19,14,0.576,0.58,-1.15,13,5,11,4,7,8,2436,2379,,837,1982,0.422,241,738,0.327,521,754,0.691,412,1166,424,262,89,379,653,1.727272727,35.33333333,12.84848485,11.48484848,19.78787879,7.939393939,2.696969697
201,Nicholls State,30,9,21,0.3,-10.54,-4.97,8,10,5,5,4,13,2020,2187,,713,1627,0.438,159,521,0.305,435,651,0.668,313,949,377,190,66,414,564,-5.566666667,31.63333333,12.56666667,13.8,18.8,6.333333333,2.2
202,NJIT,29,16,13,0.552,-8.33,-9.01,6,2,12,3,4,9,2042,1869,,702,1667,0.421,183,495,0.37,455,678,0.671,380,1137,374,253,147,424,567,5.965517241,39.20689655,12.89655172,14.62068966,19.55172414,8.724137931,5.068965517
203,Norfolk State,33,21,12,0.636,-5.77,-6.56,16,0,11,0,10,9,2188,2162,,769,1850,0.416,172,529,0.325,478,740,0.646,407,1192,392,242,151,481,617,0.787878788,36.12121212,11.87878788,14.57575758,18.6969697,7.333333333,4.575757576
204,North Carolina-Asheville,32,16,16,0.5,-3.67,-3.98,10,6,10,4,6,8,2296,2213,,824,1831,0.45,155,468,0.331,493,690,0.714,385,1163,457,261,169,465,518,2.59375,36.34375,14.28125,14.53125,16.1875,8.15625,5.28125
205,North Carolina A&T,37,20,17,0.541,-6.94,-6.3,8,8,9,3,5,12,2299,2291,,776,1927,0.403,215,707,0.304,532,809,0.658,387,1293,405,261,165,564,716,0.216216216,34.94594595,10.94594595,15.24324324,19.35135135,7.054054054,4.459459459
206,North Carolina Central,31,22,9,0.71,-2.23,-7.05,15,1,12,2,9,5,2079,1758,,706,1536,0.46,168,483,0.348,499,680,0.734,284,1014,436,236,90,444,548,10.35483871,32.70967742,14.06451613,14.32258065,17.67741935,7.612903226,2.903225806
207,North Carolina-Greensboro,31,9,22,0.29,-9.42,-5.31,6,12,6,9,2,12,2222,2286,,788,1886,0.418,227,665,0.341,419,623,0.673,350,1123,374,227,50,393,676,-2.064516129,36.22580645,12.06451613,12.67741935,21.80645161,7.322580645,1.612903226
208,North Carolina State,35,24,11,0.686,14.32,7.17,11,7,16,1,3,7,2708,2458,,985,1987,0.496,184,471,0.391,554,813,0.681,396,1286,511,227,147,433,544,7.142857143,36.74285714,14.6,12.37142857,15.54285714,6.485714286,4.2
209,North Carolina-Wilmington,30,10,20,0.333,-10.09,-2.27,5,13,9,5,1,15,1899,2111,,679,1627,0.417,160,475,0.337,381,593,0.642,339,1022,338,184,126,427,535,-7.066666667,34.06666667,11.26666667,14.23333333,17.83333333,6.133333333,4.2
210,North Carolina,36,25,11,0.694,14.52,8.01,12,6,14,2,7,6,2762,2492,,1023,2321,0.441,272,723,0.376,442,655,0.675,488,1387,616,303,117,442,539,7.5,38.52777778,17.11111111,12.27777778,14.97222222,8.416666667,3.25
211,North Dakota State,34,24,10,0.706,5.21,-4.01,12,4,12,1,7,8,2282,1908,,838,1789,0.468,234,654,0.358,372,515,0.722,315,1164,426,196,144,375,542,11,34.23529412,12.52941176,11.02941176,15.94117647,5.764705882,4.235294118
212,North Dakota,33,16,17,0.485,-8.53,-5.34,12,8,9,5,6,11,2222,2243,,776,1833,0.423,207,603,0.343,463,651,0.711,348,1125,385,258,123,421,544,-0.636363636,34.09090909,11.66666667,12.75757576,16.48484848,7.818181818,3.727272727
213,North Florida,32,13,19,0.406,-7.35,-3.22,8,10,7,4,4,14,2121,2235,,763,1746,0.437,250,726,0.344,343,519,0.661,330,1039,441,195,119,469,562,-3.5625,32.46875,13.78125,14.65625,17.5625,6.09375,3.71875
214,North Texas,32,12,20,0.375,-6.39,-2.73,7,13,8,7,2,11,2117,2201,,740,1793,0.413,113,397,0.285,524,740,0.708,393,1187,325,197,153,444,558,-2.625,37.09375,10.15625,13.875,17.4375,6.15625,4.78125
215,Northeastern,33,20,13,0.606,-1.35,-1.93,14,4,7,8,10,3,2273,2254,,768,1733,0.443,231,622,0.371,506,672,0.753,328,990,453,259,83,426,505,0.575757576,30,13.72727273,12.90909091,15.3030303,7.848484848,2.515151515
216,Northern Arizona,32,11,21,0.344,-12.02,-3.55,8,12,6,6,4,13,2140,2411,,788,1805,0.437,181,554,0.327,383,567,0.675,305,1040,434,229,77,458,558,-8.46875,32.5,13.5625,14.3125,17.4375,7.15625,2.40625
217,Northern Colorado,31,13,18,0.419,-7.64,-5.19,10,10,8,5,4,13,2184,2181,,796,1718,0.463,211,560,0.377,381,565,0.674,330,1056,405,207,71,407,551,0.096774194,34.06451613,13.06451613,13.12903226,17.77419355,6.677419355,2.290322581
